iteration,log L,v,A,c,alpha,p,d
0,-556.4426636097685,0.0006784979423868311,0.010579218106995907,0.0010163580246913568,0.05,1.0212962963984262,0.001
1,-1052.7561782257958,0.000763566134340406,0.011052307970216856,0.0010146220088401163,0.0515449245541838,1.127593767577069,0.0010995884773662562
2,-1053.3542755857643,0.000867672720712281,0.01178912850156464,0.0010245036685633969,0.05204583534437504,1.105668333207516,0.0011960570035055651
3,-1041.7748873576488,0.0009625744245401881,0.012620098323029079,0.0011100637948021274,0.05,1.0572953436296877,0.001396645730135146
4,-1030.5125631170824,0.001046799686687454,0.013233575324842976,0.0011763592714361458,0.05131944444444442,1.1498086861972858,0.0016003232324465202
5,-1015.563845541534,0.0011912192730915575,0.013772720986225458,0.001,0.053410236625514335,1.0547897739351497,0.0018600053125263829
6,-1003.4563337170431,0.0012805607185734248,0.01453787215212686,0.0010333333333333332,0.05275270347507999,1.063579688717943,0.002108006020863233
7,-994.093412449442,0.0014086167904307674,0.014174425348323694,0.0010258333333333343,0.05267599127419598,1.1078955090811906,0.0023188066229495596
8,-982.3916784709869,0.001562684251884136,0.015173525468361766,0.0011112881944444451,0.05,1.0594250805588858,0.002707689817006729
9,-969.1078132225166,0.0017775533365182077,0.015981375203945818,0.0011755988538451668,0.051504629629629595,1.1226963006478208,0.00307999716684515
